stream,rotation,F1 val-seen,F1 val-blind,blind - seen
C1,p2_lab,0.7434831050672635,0.9044444444444445,0.16096133937718105
C1_AdaBN,p2_lab,0.6125786695615772,0.9046217631924779,0.29204309363090064
C1_AdaBN_T3A,p2_lab,0.6822407663258728,0.8696036298124774,0.18736286348660458
C1_T3A,p2_lab,0.7461583886684526,0.9167502741311412,0.17059188546268855
C1_aug,p2_lab,0.7357973789656959,0.8322973322973323,0.09649995333163641
C1_lin,p2_lab,0.7408206402939268,0.9142857142857143,0.17346507399178746
C1_s43,p2_lab,0.7485906220312709,0.8831369661266568,0.1345463440953859
C1_s6out,p2_living,0.6696164719207586,0.7085805583271402,0.038964086406381604
C1_s6out_aug,p2_living,0.8381021611121143,0.7971135711357112,-0.04098858997640309
C1_sharplike,p2_lab,0.587983345013948,0.4692089853384897,-0.1187743596754583
C2,p2_lab,0.5063640029927658,0.7577838827838829,0.251419879791117
C2_lin,p2_lab,0.7201114538053544,0.6879286278658757,-0.03218282593947863
C2_s43,p2_lab,0.5844397530342966,0.5241070517552863,-0.06033270127901036
C3,p2_lab,0.671146828465949,0.8243609957248111,0.15321416725886217
C3_ft,p2_lab,0.6624749699274267,0.7781709625746324,0.11569599264720565
