stream,accuracy,ECE
C2_s43,0.6,0.0668033988235294
C2,0.6470588235294118,0.0704332151764706
C0,0.6117040853882959,0.10289712432830328
C3,0.7270588235294118,0.10708528981176471
C1_lin,0.8070588235294117,0.15302275270588234
C1_s6out,0.7430167597765364,0.1717525471787709
C2_lin,0.72,0.17299101152941174
C1_sharplike,0.5694117647058824,0.1869414725882353
C3_ft,0.72,0.20550184903529414
C1_AdaBN,0.7458823529411764,0.21380506155294116
C1_s6out_aug,0.8156424581005587,0.2242185374441341
C1_aug,0.7764705882352941,0.23451892065882354
C1_s43,0.8,0.2371347278117647
C1,0.8047058823529412,0.24327779037647057
C1_AdaBN_T3A,0.7576470588235295,0.30641246877647055
C1_T3A,0.8117647058823529,0.3451192450823529
